directory	widget	family	phase	shell_kind	interaction_family	interaction_storytelling	interaction_source	interaction_outcome
dialog	dialog	overlay	4	box	open	target_driven	shared_trigger	The review panel should explain how the dialog example turns an authored canonical interaction into a browser-visible overlay story.
alert_dialog	alert_dialog	overlay	4	box	open	target_driven	shared_trigger	The review panel should explain how the alert dialog example turns an authored canonical interaction into a browser-visible overlay story.
context_menu	context_menu	overlay	4	box	open	target_driven	shared_trigger	The review panel should explain how the context menu example turns an authored canonical interaction into a browser-visible overlay story.
toast	toast	overlay	4	box	open	target_driven	shared_trigger	The review panel should explain how the toast example turns an authored canonical interaction into a browser-visible overlay story.
stream_widget	stream_widget	operational	4	box	command	target_driven	shared_trigger	The review panel should explain how the stream widget example turns an authored canonical interaction into a browser-visible command story reviewers can follow quickly.
process_monitor	process_monitor	operational	4	box	command	target_driven	shared_trigger	The review panel should explain how the process monitor example turns an authored canonical interaction into a browser-visible command story reviewers can follow quickly.
supervision_tree_viewer	supervision_tree_viewer	operational	4	box	command	target_driven	shared_trigger	The review panel should explain how the supervision tree viewer example turns an authored canonical interaction into a browser-visible command story reviewers can follow quickly.
cluster_dashboard	cluster_dashboard	operational	4	box	command	target_driven	shared_trigger	The review panel should explain how the cluster dashboard example turns an authored canonical interaction into a browser-visible command story reviewers can follow quickly.
menu	menu	navigation	3	box	navigation	target_driven	shared_trigger	The review panel should explain how the menu example turns an authored canonical interaction into a browser-visible navigation story with clear active-state meaning.
tabs	tabs	navigation	3	box	navigation	target_driven	shared_trigger	The review panel should explain how the tabs example turns an authored canonical interaction into a browser-visible navigation story with clear active-state meaning.
command_palette	command_palette	navigation	3	box	command	target_driven	shared_trigger	The review panel should explain how the command palette example turns an authored canonical interaction into a browser-visible command story reviewers can follow quickly.
list	list	data	3	box	selection	target_driven	shared_trigger	The review panel should explain how the list example turns an authored canonical interaction into a browser-visible data story reviewers can understand quickly.
table	table	data	3	box	selection	target_driven	shared_trigger	The review panel should explain how the table example turns an authored canonical interaction into a browser-visible data story reviewers can understand quickly.
tree_view	tree_view	data	3	box	selection	target_driven	shared_trigger	The review panel should explain how the tree view example turns an authored canonical interaction into a browser-visible data story reviewers can understand quickly.
markdown_viewer	markdown_viewer	data	3	box	focus	target_driven	shared_trigger	The review panel should explain how the markdown viewer example turns an authored canonical interaction into a browser-visible data story reviewers can understand quickly.
log_viewer	log_viewer	data	3	box	focus	target_driven	shared_trigger	The review panel should explain how the log viewer example turns an authored canonical interaction into a browser-visible data story reviewers can understand quickly.
status	status	feedback	3	box	click	target_driven	shared_trigger	The review panel should explain how the status example turns an authored canonical interaction into a browser-visible feedback story.
progress	progress	feedback	3	box	click	target_driven	shared_trigger	The review panel should explain how the progress example turns an authored canonical interaction into a browser-visible feedback story.
gauge	gauge	feedback	3	box	click	target_driven	shared_trigger	The review panel should explain how the gauge example turns an authored canonical interaction into a browser-visible feedback story.
inline_feedback	inline_feedback	feedback	3	box	click	target_driven	shared_trigger	The review panel should explain how the inline feedback example turns an authored canonical interaction into a browser-visible feedback story.
sparkline	sparkline	feedback	3	box	click	target_driven	shared_trigger	The review panel should explain how the sparkline example turns an authored canonical interaction into a browser-visible feedback story.
bar_chart	bar_chart	feedback	3	box	click	target_driven	shared_trigger	The review panel should explain how the bar chart example turns an authored canonical interaction into a browser-visible feedback story.
line_chart	line_chart	feedback	3	box	click	target_driven	shared_trigger	The review panel should explain how the line chart example turns an authored canonical interaction into a browser-visible feedback story.
